Id,FinServ_Category__pc,FinServ_Contact_Status__pc,FinServ__CommunicationPreferences__pc,FinServ__ContactPreference__pc,FinServ__LastUsedChannel__c
001am00000qvjtMAAQ,Bronze,Client,Fraud:Email;Balance Activities:Email,Mobile,Mobile
001am00000qvjtQAAQ,Bronze,Client,Fraud:Email;Balance Activities:Email,Phone,Mobile
001am00000qvjteAAA,Bronze,Client,Fraud:Email;Balance Activities:Email,Mobile,Web
001am00000qvjtHAAQ,Bronze,Client,Fraud:Email;Balance Activities:Email,Email,Web
001am00000qvjtLAAQ,Bronze,Client,Fraud:Email;Balance Activities:Email,Phone,Branch
001am00000qvjtAAAQ,Bronze,Client,Fraud:Email;Balance Activities:Email,Email,Mobile
001am00000qvjtKAAQ,Bronze,Client,Fraud:Email;Balance Activities:Email,Mobile,Call Center
001am00000qvjsIAAQ,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Mobile,Other
001am00002A3037AAB,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Email,Web
001am00002A3038AAB,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Mobile,Web
001am00002A3039AAB,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Email,Mobile
001am00002A303AAAR,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Mobile,Branch
001am00002A303BAAR,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Email,Mobile
001am00002A303CAAR,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Email,Branch
001am00002A303DAAR,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Email,Mobile
001am00002A303EAAR,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Email,Call Center
001am00002A303FAAR,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Email,Mobile
001am00002A303GAAR,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Phone,Call Center
001am00002A303HAAR,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Mobile,Branch
001am00002A303IAAR,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Phone,Call Center
001am00002A303JAAR,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Mobile,Branch
001am00002A303KAAR,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Phone,Mobile
001am00002A303LAAR,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Phone,Mobile
001am00002A303MAAR,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Phone,Web
001am00002A303NAAR,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Phone,Branch
001am00002A303OAAR,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Phone,Other
001am00002A303PAAR,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Email,Other
001am00002A303QAAR,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Email,Other
001am00002A303RAAR,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Email,Branch
001am00002A303SAAR,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Mobile,Web
001am00002A303TAAR,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Phone,Call Center
001am00002A303UAAR,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Mobile,Other
001am00002A303VAAR,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Email,Call Center
001am00002A303WAAR,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Email,Branch
001am00002A303XAAR,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Email,Call Center
001am00002A303YAAR,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Mobile,Web
001am00002A303ZAAR,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Mobile,Call Center
001am00002A303aAAB,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Phone,Other
001am00002A303bAAB,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Mobile,Mobile
001am00002A303cAAB,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Phone,Call Center
001am00002A303dAAB,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Mobile,Mobile
001am00002A303eAAB,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Mobile,Web
001am00002A303fAAB,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Phone,Other
001am00002A303gAAB,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Phone,Other
001am00002A303hAAB,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Phone,Web
001am00002A303iAAB,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Phone,Mobile
001am00002A303jAAB,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Email,Web
001am00002A303kAAB,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Email,Other
001am00002A303lAAB,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Email,Call Center
001am00002A303mAAB,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Phone,Branch
001am00002A303nAAB,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Phone,Other
001am00002A303oAAB,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Mobile,Mobile
001am00002A303pAAB,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Phone,Other
001am00002A303qAAB,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Phone,Other
001am00002A303rAAB,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Mobile,Call Center
001am00002A303sAAB,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Email,Branch
001am00002A303tAAB,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Email,Web
001am00002A303uAAB,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Email,Mobile
001am00002A8UYRAA3,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Email,Call Center
001am00002A8UYSAA3,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Mobile,Mobile
001am00002A8UYTAA3,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Mobile,Other
001am00002A8UYUAA3,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Phone,Branch
001am00002A8UYVAA3,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Phone,Branch
001am00002A8UYWAA3,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Mobile,Web
001am00002A8UYXAA3,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Mobile,Mobile
001am00002A8UYYAA3,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Mobile,Branch
001am00002A8UYZAA3,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Mobile,Call Center
001am00002A8UYaAAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Phone,Other
001am00002A8UYbAAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Phone,Branch
001am00002A8UYcAAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Phone,Branch
001am00002A8UYdAAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Mobile,Other
001am00002A8UYeAAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Mobile,Branch
001am00002A8UYfAAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Mobile,Call Center
001am00002A8UYgAAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Phone,Call Center
001am00002A8UYhAAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Phone,Web
001am00002A8UYiAAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Email,Mobile
001am00002A8UYjAAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Email,Web
001am00002A8UYkAAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Phone,Mobile
001am00002A8UYlAAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Phone,Branch
001am00002A8UYmAAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Mobile,Web
001am00002A8UYnAAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Phone,Call Center
001am00002A8UYoAAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Phone,Call Center
001am00002A8UYpAAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Mobile,Branch
001am00002A8UYqAAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Email,Web
001am00002A8UYrAAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Mobile,Call Center
001am00002A8UYsAAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Email,Web
001am00002A8UYtAAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Mobile,Other
001am00002A8UYuAAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Email,Mobile
001am00002A8UYvAAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Mobile,Mobile
001am00002A8UYwAAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Phone,Web
001am00002A8UYxAAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Email,Mobile
001am00002A8UYyAAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Email,Web
001am00002A8UYzAAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Mobile,Mobile
001am00002A8UZ0AAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Phone,Other
001am00002A8UZ1AAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Email,Mobile
001am00002A8UZ2AAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Email,Web
001am00002A8UZ3AAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Mobile,Branch
001am00002A8UZ4AAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Phone,Branch
001am00002A8UZ5AAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Phone,Web
001am00002A8UZ6AAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Phone,Other
001am00002A8UZ7AAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Phone,Branch
001am00002A8UZ8AAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Email,Web
001am00002A8UZ9AAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Phone,Call Center
001am00002A8UZAAA3,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Email,Branch
001am00002A8UZBAA3,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Mobile,Call Center
001am00002A8UZCAA3,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Phone,Call Center
001am00002A8UZDAA3,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Email,Mobile
001am00002A8UZEAA3,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Phone,Mobile
001am00002A8UZFAA3,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Mobile,Mobile
001am00002A8UZGAA3,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Email,Call Center
001am00002A8UZHAA3,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Phone,Mobile
001am00002A8UZIAA3,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Email,Other
001am00002A8UZJAA3,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Email,Mobile
001am00002A8UZKAA3,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Mobile,Web
001am00002A8UZLAA3,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Phone,Mobile
001am00002A8UZMAA3,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Email,Web
001am00002A8UZNAA3,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Phone,Mobile
001am00002A8UZOAA3,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Phone,Mobile
001am00002A8UZPAA3,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Phone,Mobile
001am00002A8UZQAA3,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Phone,Other
001am00002A8UZRAA3,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Phone,Other
001am00002A8UZSAA3,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Phone,Other
001am00002A8UZTAA3,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Phone,Other
001am00002A8UZUAA3,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Mobile,Web
001am00002A8UZVAA3,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Phone,Call Center
001am00002A8UZWAA3,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Mobile,Call Center
001am00002A8UZXAA3,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Email,Other
001am00002A8UZYAA3,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Phone,Other
001am00002A8UZZAA3,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Mobile,Other
001am00002A8UZaAAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Mobile,Other
001am00002A8UZbAAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Email,Branch
001am00002A8UZcAAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Email,Branch
001am00002A8UZdAAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Email,Call Center
001am00002A8UZeAAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Mobile,Web
001am00002A8UZfAAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Phone,Mobile
001am00002A8UZgAAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Mobile,Mobile
001am00002A8UZhAAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Email,Other
001am00002A8UZiAAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Mobile,Call Center
001am00002A8UZjAAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Mobile,Branch
001am00002A8UZkAAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Mobile,Mobile
001am00002A8UZlAAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Mobile,Branch
001am00002A8UZmAAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Mobile,Mobile
001am00002A8UZnAAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Mobile,Branch
001am00002A8UZoAAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Mobile,Mobile
001am00002A8UZpAAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Email,Web
001am00002A8UZqAAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Email,Branch
001am00002A8UZrAAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Email,Branch
001am00002A8UZsAAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Mobile,Other
001am00002A8UZtAAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Email,Branch
001am00002A8UZuAAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Phone,Web
001am00002A8UZvAAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Phone,Other
001am00002A8UZwAAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Email,Web
001am00002A8UZxAAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Email,Call Center
001am00002A8UZyAAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Mobile,Call Center
001am00002A8UZzAAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Mobile,Branch
001am00002A8Ua0AAF,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Email,Call Center
001am00002A8XjBAAV,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Phone,Branch
001am00002A8XjCAAV,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Phone,Web
001am00002A8YH3AAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Mobile,Mobile
001am00002A8YH4AAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Email,Branch
001am00002A8YH5AAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Phone,Other
001am00002A8YH6AAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Mobile,Other
001am00002A8YH7AAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Email,Web
001am00002A8YH8AAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Phone,Other
001am00002A8YH9AAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Phone,Branch
001am00002A8YHAAA3,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Email,Branch
001am00002A8YHBAA3,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Phone,Call Center
001am00002A8YHCAA3,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Phone,Call Center
001am00002A8YHDAA3,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Mobile,Branch
001am00002A8YHEAA3,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Mobile,Call Center
001am00002A8YHFAA3,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Mobile,Mobile
001am00002A8YHGAA3,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Email,Web
001am00002A8YHHAA3,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Mobile,Web
001am00002A8YHIAA3,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Phone,Call Center
001am00002A8YHJAA3,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Email,Call Center
001am00002A8YHKAA3,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Phone,Other
001am00002A8YHLAA3,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Email,Mobile
001am00002A8YHMAA3,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Mobile,Call Center
001am00002A8YHNAA3,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Phone,Call Center
001am00002A8YHOAA3,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Mobile,Other
001am00002A8YHPAA3,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Phone,Call Center
001am00002A8YHQAA3,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Mobile,Call Center
001am00002A8YHRAA3,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Email,Call Center
001am00002A8YHSAA3,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Phone,Branch
001am00002A8YHTAA3,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Email,Mobile
001am00002A8YHUAA3,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Email,Web
001am00002A8YHVAA3,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Email,Mobile
001am00002A8YHWAA3,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Email,Other
001am00002A8YHXAA3,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Mobile,Branch
001am00002A8YHYAA3,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Phone,Branch
001am00002A8YHZAA3,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Phone,Other
001am00002A8YHaAAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Mobile,Mobile
001am00002A8YHbAAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Mobile,Mobile
001am00002A8YHcAAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Email,Branch
001am00002A8YHdAAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Phone,Call Center
001am00002A8YHeAAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Email,Other
001am00002A8YHfAAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Mobile,Call Center
001am00002A8YHgAAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Phone,Branch
001am00002A8YHhAAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Phone,Mobile
001am00002A8YHiAAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Phone,Mobile
001am00002A8YHjAAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Mobile,Branch
001am00002A8YHkAAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Mobile,Call Center
001am00002A8YHlAAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Mobile,Call Center
001am00002A8YHmAAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Email,Other
001am00002A8YHnAAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Mobile,Web
001am00002A8YHoAAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Phone,Mobile
001am00002A8YHpAAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Phone,Mobile
001am00002A8YHqAAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Mobile,Call Center
001am00002A8YHrAAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Mobile,Branch
001am00002A8YHsAAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Email,Web
001am00002A8YHtAAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Phone,Call Center
001am00002A8YHuAAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Mobile,Call Center
001am00002A8YHvAAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Mobile,Branch
001am00002A8YHwAAN,Silver,Client,Fraud:SMS;Promotions:Email;Balance Activities:SMS,Mobile,Other
