Id,FinServ__NetWorth__c,FinServ__CreditRating__c,Tier__c,FinServ__LifetimeValue__c,FinServ__LastUsedChannel__c,Ownership,TickerSymbol
001am00000qvjs8AAA,160000,Good,C,25000,Call Center,Public,GREE
001am00000qvjssAAA,2200000000,Good,C,38500000,Web,Private,
001am00000qvjstAAA,9600000,Poor,C,168000,Other,Private,
001am00000qvjspAAA,5200000000,Poor,C,91000000,Other,Private,
001am00000qvju0AAA,19704120,Good,C,344822,Mobile,Subsidiary,
001am00000qvjsfAAA,1000000000,Good,C,17500000,Branch,Other,
001am000024D5y4AAC,3243876,Poor,C,56767,Branch,Private,
001am000024D5y6AAC,213620,Fair,C,25000,Branch,Private,
001am00000qvjtuAAA,72219001308,Fair,C,1263832522,Branch,Private,
001am00000qvjtWAAQ,40617972,Fair,C,710814,Branch,Private,
001am00000qvju6AAA,148299433928,Good,C,2595240093,Mobile,Subsidiary,
001am000024DYofAAG,3318648,Good,C,58076,Web,Other,
001am00000qvjtYAAQ,14235696,Fair,C,249124,Mobile,Private,
001am00000qvjuDAAQ,9613404,Excellent,C,168234,Other,Public,LEVI
001am000024D5y5AAC,2871588,Good,C,50252,Branch,Private,
001am00000qvjsnAAA,960000000,Excellent,C,16800000,Call Center,Private,
001am00000qvjsVAAQ,30400000,Good,C,532000,Call Center,Subsidiary,
001am00000qvjsvAAA,117284000000,Excellent,C,2052470000,Mobile,Other,
001am00000qvjsYAAQ,20000000,Good,C,350000,Other,Private,
001am00000qvju4AAA,37397224,Poor,C,654451,Web,Private,
001am00000qvjtjAAA,59273180,Good,C,1037280,Branch,Private,
001am00000qvju1AAA,39935080,Excellent,C,698863,Other,Private,
001am00000qvjsLAAQ,40000000,Good,C,700000,Call Center,Private,
001am00000qvju8AAA,63802540,Fair,C,1116544,Mobile,Private,
001am00000qvjtUAAQ,156000000,Fair,C,2730000,Call Center,Private,
001am00000qvjsSAAQ,296000000,Fair,C,5180000,Mobile,Subsidiary,
001am00000qvjuAAAQ,276000000,Excellent,C,4830000,Call Center,Private,
001am00000qvjtoAAA,212000000,Fair,C,3710000,Other,Private,
001am00000qvjshAAA,800000000,Poor,C,14000000,Call Center,Private,
001am00000qvjsTAAQ,3560000000,Good,C,62300000,Call Center,Public,OPPO
001am00000qvjsjAAA,2200000000,Poor,C,38500000,Call Center,Private,
001am00000qvjtwAAA,5546148,Excellent,C,97057,Mobile,Private,
001am000024D5y8AAC,564064,Poor,C,25000,Other,Public,PASS
001am00000qvjslAAA,3400000000,Good,C,59500000,Web,Private,
001am00000qvjsRAAQ,960000000,Poor,C,16800000,Branch,Private,
001am00000qvjuCAAQ,382261936,Excellent,C,6689583,Branch,Private,
001am00000qvjtmAAA,13787004,Excellent,C,241272,Web,Private,
001am00000qvjsNAAQ,96000000,Poor,C,1680000,Web,Private,
001am000024DYoeAAG,3232124,Poor,C,56562,Web,Private,
001am00000qvjsrAAA,96000000,Good,C,1680000,Call Center,Private,
001am00000qvjsKAAQ,30751704,Poor,C,538154,Mobile,Private,
001am00000qvjtZAAQ,26668864000,Good,C,466705120,Mobile,Private,
001am00000qvjtpAAA,97377386112,Poor,C,1704104256,Other,Private,
001am00000qvjuEAAQ,26259328,Poor,C,459538,Other,Public,SANF
001am00000qvju9AAA,7905600000,Good,C,138348000,Web,Public,SILO
001am00000qvjuGAAQ,7450772,Good,C,130388,Call Center,Private,
001am000024DYobAAG,3873460,Poor,C,67785,Branch,Private,
001am00000qvjsUAAQ,6400000,Good,C,112000,Mobile,Private,
001am000024D5y7AAC,3702064,Good,C,64786,Other,Private,
001am00000qvjscAAA,2000000,Fair,C,35000,Mobile,Private,
001am000024DYoaAAG,696552,Fair,C,25000,Branch,Private,
001am00000qvjsMAAQ,9600000,Poor,C,168000,Call Center,Private,
001am00000qvjuJAAQ,91905476,Poor,C,1608345,Branch,Private,
001am00000qvjsiAAA,28400000,Excellent,C,497000,Mobile,Private,
001am00000qvjsoAAA,1480000000,Fair,C,25900000,Mobile,Private,
001am00000qvjskAAA,1920000000,Good,C,33600000,Branch,Private,
001am00000qvjtXAAQ,216000000000,Excellent,C,3780000000,Other,Private,
001am00000qvjtzAAA,135104600,Fair,C,2364330,Branch,Private,
001am00000qvjtyAAA,228976000000,Poor,C,4007080000,Other,Private,
001am00000qvjsQAAQ,256000000,Poor,C,4480000,Call Center,Public,UNIV
001am00000qvjsZAAQ,1840000000,Excellent,C,32200000,Other,Private,
001am00000qvjsWAAQ,2400000000,Poor,C,42000000,Mobile,Private,
001am00000qvjsyAAA,384000000,Excellent,C,6720000,Web,Private,
001am000024D5y9AAC,2382884,Fair,C,41700,Mobile,Private,
001am00000qvjswAAA,9600000000,Fair,C,168000000,Other,Private,
001am00000qvjuFAAQ,31032520,Good,C,543069,Call Center,Private,
001am000024D5yAAAS,1606688,Poor,C,28117,Other,Private,
001am00000qvjuHAAQ,144204785592,Excellent,C,2523583747,Mobile,Subsidiary,
001am00000qvjsgAAA,1680000000,Excellent,C,29400000,Mobile,Private,
001am00000qvjsxAAA,2160000,Poor,C,37800,Branch,Private,
001am00002A8YKlAAN,63984000,Excellent,A,1119720,Branch,Private,
001am00002A8YKmAAN,99668000,Good,A,1744190,Mobile,Other,
001am00002A8YKnAAN,94684000,Good,A,1656970,Mobile,Private,
001am00002A8YKoAAN,543556000,Excellent,A,9512230,Other,Private,
001am00002A8YKpAAN,40000000,Excellent,A,700000,Mobile,Private,
001am00002A8YKqAAN,239296000,Excellent,A,4187680,Web,Private,
001am00002A8YKrAAN,2000000000,Excellent,A,35000000,Mobile,Private,
001am00002A8YKsAAN,165544000,Excellent,A,2897020,Mobile,Private,
001am00002A8YKtAAN,788436000,Excellent,A,13797630,Web,Subsidiary,
001am00002A8YKuAAN,41724000,Excellent,A,730170,Other,Private,
001am00002A8YKvAAN,199240000,Good,A,3486700,Mobile,Private,
001am00002A8YKwAAN,118360000,Excellent,A,2071300,Other,Private,
001am00002A8YKxAAN,160300000,Excellent,A,2805250,Branch,Private,
001am00002A8YKyAAN,102844000,Excellent,A,1799770,Mobile,Other,
001am00002A8YKzAAN,159564000,Good,A,2792370,Other,Private,
001am00002A8YL0AAN,76836000,Excellent,A,1344630,Branch,Subsidiary,
001am00002A8YL1AAN,40000000,Excellent,A,700000,Call Center,Private,
001am00002A8YL2AAN,40000000,Excellent,A,700000,Other,Private,
001am00002A8YL3AAN,40000000,Excellent,A,700000,Other,Private,
001am00002A8YL4AAN,40000000,Excellent,A,700000,Branch,Private,
001am00002A9FRLAA3,63984000,Excellent,A,1119720,Mobile,Private,
001am00002A9FRMAA3,99668000,Excellent,A,1744190,Branch,Private,
001am00002A9FRNAA3,94684000,Excellent,A,1656970,Other,Private,
001am00002A9FROAA3,543556000,Excellent,A,9512230,Mobile,Public,BROW
001am00002A9FRPAA3,40000000,Excellent,A,700000,Other,Private,
001am00002A9FRQAA3,239296000,Excellent,A,4187680,Branch,Private,
001am00002A9FRRAA3,2000000000,Excellent,A,35000000,Mobile,Other,
001am00002A9FRSAA3,165544000,Excellent,A,2897020,Web,Private,
001am00002A9FRTAA3,788436000,Excellent,A,13797630,Branch,Private,
001am00002A9FRUAA3,41724000,Good,A,730170,Branch,Private,
001am00002A9FRVAA3,199240000,Excellent,A,3486700,Branch,Other,
001am00002A9FRWAA3,118360000,Excellent,A,2071300,Branch,Private,
001am00002A9FRXAA3,160300000,Excellent,A,2805250,Web,Private,
001am00002A9FRYAA3,102844000,Excellent,A,1799770,Web,Subsidiary,
001am00002A9FRZAA3,159564000,Excellent,A,2792370,Branch,Private,
001am00002A9FRaAAN,76836000,Excellent,A,1344630,Call Center,Other,
001am00002A9FRbAAN,40000000,Excellent,A,700000,Web,Private,
001am00002A9FRcAAN,40000000,Good,A,700000,Call Center,Subsidiary,
001am00002A9FRdAAN,40000000,Excellent,A,700000,Web,Private,
001am00002A9FReAAN,40000000,Excellent,A,700000,Call Center,Private,
001am00002A9c6BAAR,63984000,Excellent,A,1119720,Branch,Subsidiary,
001am00002A9c6CAAR,99668000,Excellent,A,1744190,Call Center,Private,
001am00002A9c6DAAR,94684000,Excellent,A,1656970,Mobile,Subsidiary,
001am00002A9c6EAAR,543556000,Excellent,A,9512230,Call Center,Private,
001am00002A9c6FAAR,40000000,Excellent,A,700000,Branch,Private,
001am00002A9c6GAAR,239296000,Excellent,A,4187680,Call Center,Private,
001am00002A9c6HAAR,2000000000,Excellent,A,35000000,Branch,Subsidiary,
001am00002A9c6IAAR,165544000,Excellent,A,2897020,Other,Private,
001am00002A9c6JAAR,788436000,Excellent,A,13797630,Branch,Other,
001am00002A9c6KAAR,41724000,Good,A,730170,Web,Private,
001am00002A9c6LAAR,199240000,Excellent,A,3486700,Branch,Private,
001am00002A9c6MAAR,118360000,Excellent,A,2071300,Branch,Private,
001am00002A9c6NAAR,160300000,Excellent,A,2805250,Branch,Subsidiary,
001am00002A9c6OAAR,102844000,Excellent,A,1799770,Call Center,Private,
001am00002A9c6PAAR,159564000,Excellent,A,2792370,Mobile,Private,
001am00002A9c6QAAR,76836000,Good,A,1344630,Web,Other,
001am00002A9c6RAAR,40000000,Excellent,A,700000,Branch,Private,
001am00002A9c6SAAR,40000000,Excellent,A,700000,Branch,Subsidiary,
001am00002A9c6TAAR,40000000,Excellent,A,700000,Mobile,Private,
001am00002A9c6UAAR,40000000,Excellent,A,700000,Web,Private,
001am00002A9jlVAAR,63984000,Excellent,A,1119720,Other,Private,
001am00002A9jlWAAR,99668000,Excellent,A,1744190,Mobile,Private,
001am00002A9jlXAAR,94684000,Excellent,A,1656970,Mobile,Private,
001am00002A9jlYAAR,543556000,Excellent,A,9512230,Other,Private,
001am00002A9jlZAAR,40000000,Excellent,A,700000,Other,Private,
001am00002A9jlaAAB,239296000,Good,A,4187680,Branch,Private,
001am00002A9jlbAAB,2000000000,Excellent,A,35000000,Other,Private,
001am00002A9jlcAAB,165544000,Excellent,A,2897020,Web,Public,WARR
001am00002A9jldAAB,788436000,Excellent,A,13797630,Branch,Other,
001am00002A9jleAAB,41724000,Excellent,A,730170,Branch,Private,
001am00002A9jlfAAB,199240000,Excellent,A,3486700,Mobile,Private,
001am00002A9jlgAAB,118360000,Excellent,A,2071300,Other,Private,
001am00002A9jlhAAB,160300000,Good,A,2805250,Branch,Private,
001am00002A9jliAAB,102844000,Excellent,A,1799770,Call Center,Other,
001am00002A9jljAAB,159564000,Excellent,A,2792370,Web,Public,SCHN
001am00002A9jlkAAB,76836000,Excellent,A,1344630,Mobile,Private,
001am00002A9jllAAB,40000000,Excellent,A,700000,Other,Public,HAMP
001am00002A9jlmAAB,40000000,Excellent,A,700000,Other,Private,
001am00002A9jlnAAB,40000000,Excellent,A,700000,Web,Subsidiary,
001am00002A9jloAAB,40000000,Excellent,A,700000,Web,Private,
001am00002A9jlpAAB,283260000,Excellent,A,4957050,Call Center,Public,CARD
001am00002A9jlqAAB,59484000,Good,A,1040970,Web,Private,
001am00002A9jlrAAB,804624000,Excellent,A,14080920,Mobile,Private,
001am00002A9jlsAAB,1213748000,Excellent,A,21240590,Call Center,Private,
001am00002A9jltAAB,40000000,Excellent,A,700000,Web,Private,
001am00002A9jluAAB,98632000,Excellent,A,1726060,Mobile,Private,
001am00002A9jlvAAB,40000000,Excellent,A,700000,Web,Subsidiary,
001am00002A9jlwAAB,114312000,Excellent,A,2000460,Call Center,Private,
001am00002A9jlxAAB,415844000,Excellent,A,7277270,Other,Private,
001am00002A9jlyAAB,44920000,Good,A,786100,Branch,Private,
001am00002A9jlzAAB,40000000,Excellent,A,700000,Call Center,Private,
001am00002A9jm0AAB,643412000,Good,A,11259710,Other,Private,
001am00002A9jm1AAB,157852000,Excellent,A,2762410,Call Center,Private,
001am00002A9jm2AAB,40000000,Excellent,A,700000,Branch,Private,
001am00002A9jm3AAB,233920000,Excellent,A,4093600,Branch,Other,
001am00002A9jm4AAB,40000000,Excellent,A,700000,Other,Subsidiary,
001am00002A9jm5AAB,56732000,Excellent,A,992810,Other,Private,
001am00002A9jm6AAB,40000000,Excellent,A,700000,Other,Private,
001am00002A9jm7AAB,76176000,Good,A,1333080,Other,Other,
001am00002A9jm8AAB,56064000,Excellent,A,981120,Web,Private,
001am00002A9jm9AAB,199252000,Excellent,A,3486910,Web,Private,
001am00002A9jmAAAR,105888000,Good,A,1853040,Branch,Private,
001am00002A9jmBAAR,40000000,Excellent,A,700000,Other,Private,
001am00002A9jmCAAR,47468000,Excellent,A,830690,Other,Private,
001am00002A9jmDAAR,198472000,Excellent,A,3473260,Mobile,Private,
001am00002A9jmEAAR,124872000,Good,A,2185260,Call Center,Subsidiary,
001am00002A9jmFAAR,40000000,Excellent,A,700000,Branch,Private,
001am00002A9jmGAAR,197116000,Excellent,A,3449530,Other,Other,
001am00002A9jmHAAR,1058792000,Excellent,A,18528860,Mobile,Private,
001am00002A9jmIAAR,142276000,Excellent,A,2489830,Call Center,Private,
001am00002A9jmJAAR,245364000,Good,A,4293870,Other,Other,
001am00002A9jmKAAR,200200000,Excellent,A,3503500,Branch,Other,
001am00002A9jmLAAR,55644000,Good,A,973770,Web,Other,
001am00002A9jmMAAR,64148000,Excellent,A,1122590,Mobile,Public,BURN
001am00002A9jmNAAR,76108000,Excellent,A,1331890,Web,Other,
001am00002A9jmOAAR,311496000,Good,A,5451180,Other,Private,
001am00002A9jmPAAR,81556000,Excellent,A,1427230,Web,Private,
001am00002A9jmQAAR,129148000,Excellent,A,2260090,Branch,Private,
001am00002A9jmRAAR,104812000,Excellent,A,1834210,Other,Private,
001am00002A9jmSAAR,113184000,Good,A,1980720,Mobile,Private,
001am00002A9jmTAAR,70336000,Excellent,A,1230880,Web,Private,
001am00002A9jmUAAR,162496000,Good,A,2843680,Web,Private,
001am00002A9jmVAAR,40000000,Excellent,A,700000,Web,Private,
001am00002A9jmWAAR,44160000,Excellent,A,772800,Web,Private,
001am00002A9jmXAAR,125796000,Excellent,A,2201430,Mobile,Public,SMIT
001am00002A9jmYAAR,55480000,Excellent,A,970900,Call Center,Other,
001am00002A9jmZAAR,90500000,Good,A,1583750,Other,Other,
001am00002A9jmaAAB,104576000,Excellent,A,1830080,Web,Other,
001am00002A9jmbAAB,136892000,Good,A,2395610,Web,Private,
001am00002A9jmcAAB,161808000,Excellent,A,2831640,Mobile,Private,
001am00002A9jmdAAB,181668000,Excellent,A,3179190,Web,Private,
001am00002A9jmeAAB,83772000,Excellent,A,1466010,Other,Private,
001am00002A9jmfAAB,272748000,Excellent,A,4773090,Web,Subsidiary,
001am00002A9jmgAAB,40000000,Excellent,A,700000,Web,Private,
001am00002A9jmhAAB,450572000,Excellent,A,7885010,Mobile,Private,
001am00002A9jmiAAB,55808000,Good,A,976640,Branch,Public,FREN
001am00002A9jmjAAB,40000000,Excellent,A,700000,Mobile,Private,
001am00002A9jmkAAB,84140000,Excellent,A,1472450,Other,Private,
001am00002A9jmlAAB,40000000,Excellent,A,700000,Other,Other,
001am00002A9jmmAAB,40000000,Excellent,A,700000,Branch,Private,
001am00002A9jmnAAB,40000000,Excellent,A,700000,Other,Private,
001am00002A9jmoAAB,40000000,Excellent,A,700000,Web,Private,
001am00002A9jmpAAB,153856000,Good,A,2692480,Branch,Private,
001am00002A9jmqAAB,131460000,Excellent,A,2300550,Other,Private,
001am00002A9jmrAAB,40000000,Excellent,A,700000,Other,Subsidiary,
001am00002A9jmsAAB,152188000,Excellent,A,2663290,Other,Private,
001am00002A9jmtAAB,44220000,Excellent,A,773850,Mobile,Private,
001am00002A9jmuAAB,67176000,Excellent,A,1175580,Branch,Private,
001am00002A9jmvAAB,40000000,Excellent,A,700000,Call Center,Private,
001am00002A9jmwAAB,40000000,Excellent,A,700000,Call Center,Private,
001am00002A9jmxAAB,92544000,Excellent,A,1619520,Branch,Private,
001am00002A9jmyAAB,99640000,Excellent,A,1743700,Other,Private,
001am00002A9jmzAAB,44512000,Excellent,A,778960,Mobile,Private,
001am00002A9jn0AAB,501316000,Excellent,A,8773030,Mobile,Other,
001am00002A9jn1AAB,77996000,Excellent,A,1364930,Other,Other,
001am00002A9jn2AAB,68656000,Excellent,A,1201480,Mobile,Private,
001am00002A9jn3AAB,266872000,Excellent,A,4670260,Mobile,Private,
001am00002A9jn4AAB,304508000,Excellent,A,5328890,Call Center,Private,
001am00002A9jn5AAB,194300000,Excellent,A,3400250,Call Center,Private,
001am00002A9jn6AAB,58632000,Excellent,A,1026060,Other,Private,
001am00002A9jqLAAR,40000000,Excellent,A,700000,Other,Private,
001am00002A9jqMAAR,40000000,Excellent,A,700000,Call Center,Private,
001am00002A9jqNAAR,254140000,Good,A,4447450,Other,Private,
001am00002A9jqOAAR,508964000,Excellent,A,8906870,Web,Private,
001am00002A9jqPAAR,130948000,Good,A,2291590,Branch,Other,
001am00002A9jqQAAR,47392000,Excellent,A,829360,Branch,Private,
001am00002A9jqRAAR,172336000,Excellent,A,3015880,Other,Private,
001am00002A9jqSAAR,181220000,Good,A,3171350,Mobile,Private,
001am00002A9jqTAAR,40000000,Excellent,A,700000,Other,Private,
001am00002A9jqUAAR,408416000,Excellent,A,7147280,Branch,Private,
001am00002A9jqVAAR,180560000,Good,A,3159800,Branch,Private,
001am00002A9jqWAAR,148452000,Good,A,2597910,Mobile,Private,
001am00002A9jqXAAR,94164000,Excellent,A,1647870,Call Center,Other,
001am00002A9jqYAAR,79732000,Excellent,A,1395310,Call Center,Private,
001am00002A9jqZAAR,218752000,Excellent,A,3828160,Web,Private,
001am00002A9jqaAAB,169528000,Excellent,A,2966740,Mobile,Private,
001am00002A9jqbAAB,61464000,Excellent,A,1075620,Web,Other,
001am00002A9jqcAAB,40000000,Excellent,A,700000,Mobile,Private,
001am00002A9jqdAAB,42308000,Excellent,A,740390,Branch,Public,HARR
001am00002A9jqeAAB,114776000,Excellent,A,2008580,Branch,Private,
001am00002A9jqfAAB,160804000,Good,A,2814070,Mobile,Private,
001am00002A9jqgAAB,40000000,Excellent,A,700000,Branch,Private,
001am00002A9jqhAAB,124548000,Good,A,2179590,Branch,Private,
001am00002A9jqiAAB,123640000,Excellent,A,2163700,Mobile,Private,
001am00002A9jqjAAB,233328000,Excellent,A,4083240,Call Center,Private,
001am00002A9jqkAAB,88096000,Good,A,1541680,Mobile,Other,
001am00002A9jqlAAB,270572000,Excellent,A,4735010,Other,Private,
001am00002A9jqmAAB,115020000,Good,A,2012850,Mobile,Other,
001am00002A9jqnAAB,154500000,Excellent,A,2703750,Call Center,Private,
001am00002A9jqoAAB,40000000,Excellent,A,700000,Mobile,Private,
001am00002A9jqpAAB,119888000,Excellent,A,2098040,Branch,Private,
001am00002A9jqqAAB,63380000,Excellent,A,1109150,Call Center,Private,
001am00002A9jqrAAB,88324000,Excellent,A,1545670,Other,Private,
001am00002A9jqsAAB,58184000,Excellent,A,1018220,Branch,Private,
001am00002A9jqtAAB,75872000,Excellent,A,1327760,Mobile,Private,
001am00002A9jquAAB,40000000,Excellent,A,700000,Mobile,Private,
001am00002A9jqvAAB,855168000,Excellent,A,14965440,Call Center,Private,
001am00002A9jqwAAB,134244000,Excellent,A,2349270,Mobile,Private,
001am00002A9jqxAAB,399908000,Excellent,A,6998390,Branch,Private,
001am00002A9jqyAAB,53828000,Excellent,A,941990,Web,Private,
001am00002A9jqzAAB,50820000,Good,A,889350,Web,Private,
001am00002A9jr0AAB,296020000,Excellent,A,5180350,Web,Private,
001am00002A9jr1AAB,53816000,Good,A,941780,Call Center,Private,
001am00002A9jr2AAB,81236000,Excellent,A,1421630,Call Center,Private,
001am00002A9jr3AAB,272076000,Excellent,A,4761330,Other,Private,
001am00002A9jr4AAB,114672000,Excellent,A,2006760,Web,Other,
001am00002A9jr5AAB,394132000,Excellent,A,6897310,Branch,Private,
001am00002A9jr6AAB,194788000,Excellent,A,3408790,Call Center,Private,
001am00002A9jr7AAB,44656000,Excellent,A,781480,Mobile,Other,
001am00002A9jr8AAB,212628000,Excellent,A,3720990,Branch,Subsidiary,
001am00002A9jr9AAB,40872000,Excellent,A,715260,Mobile,Private,
001am00002A9jrAAAR,50824000,Excellent,A,889420,Call Center,Private,
001am00002A9jrBAAR,219876000,Excellent,A,3847830,Mobile,Other,
001am00002A9jrCAAR,306428000,Excellent,A,5362490,Branch,Private,
001am00002A9jrDAAR,253840000,Excellent,A,4442200,Call Center,Subsidiary,
001am00002A9jrEAAR,291064000,Excellent,A,5093620,Branch,Private,
001am00002A9jrFAAR,75064000,Good,A,1313620,Mobile,Private,
001am00002A9jrGAAR,143744000,Good,A,2515520,Branch,Other,
001am00002A9jrHAAR,70744000,Good,A,1238020,Branch,Private,
001am00002A9jrIAAR,167160000,Good,A,2925300,Call Center,Private,
001am00002A9jrJAAR,95628000,Excellent,A,1673490,Call Center,Subsidiary,
001am00002A9jrKAAR,254664000,Excellent,A,4456620,Call Center,Private,
001am00002A9jrLAAR,142236000,Excellent,A,2489130,Branch,Private,
001am00002A9jrMAAR,113380000,Excellent,A,1984150,Web,Private,
001am00002A9jrNAAR,288852000,Excellent,A,5054910,Other,Private,
001am00002A9jrOAAR,59652000,Excellent,A,1043910,Web,Private,
001am00002A9jrPAAR,215024000,Excellent,A,3762920,Web,Private,
001am00002A9jrQAAR,78312000,Excellent,A,1370460,Other,Private,
001am00002A9jrRAAR,73944000,Excellent,A,1294020,Mobile,Private,
001am00002A9jrSAAR,416312000,Excellent,A,7285460,Other,Private,
001am00002A9jrTAAR,80204000,Excellent,A,1403570,Branch,Private,
001am00002A9jrUAAR,40000000,Good,A,700000,Branch,Other,
001am00002A9jrVAAR,50888000,Excellent,A,890540,Branch,Other,
001am00002A9jrWAAR,54308000,Excellent,A,950390,Branch,Private,
001am00002A9jrXAAR,641940000,Excellent,A,11233950,Branch,Private,
001am00002A9jrYAAR,172304000,Excellent,A,3015320,Other,Private,
001am00002A9jrZAAR,101468000,Excellent,A,1775690,Branch,Private,
001am00002A9jraAAB,164408000,Excellent,A,2877140,Other,Other,
001am00002A9jrbAAB,248100000,Excellent,A,4341750,Other,Private,
001am00002A9jrcAAB,78800000,Good,A,1379000,Other,Other,
001am00002A9jrdAAB,115892000,Excellent,A,2028110,Call Center,Private,
001am00002A9jreAAB,55640000,Excellent,A,973700,Other,Private,
001am00002A9jrfAAB,113020000,Excellent,A,1977850,Mobile,Private,
001am00002A9jrgAAB,450728000,Excellent,A,7887740,Mobile,Private,
001am00002A9jrhAAB,45076000,Excellent,A,788830,Branch,Private,
001am00002A9jriAAB,105992000,Excellent,A,1854860,Other,Private,
001am00002A9jrjAAB,55964000,Excellent,A,979370,Other,Public,MCCA
001am00002A9jrkAAB,52968000,Excellent,A,926940,Call Center,Private,
001am00002A9jrlAAB,528448000,Excellent,A,9247840,Mobile,Other,
001am00002A9jrmAAB,80088000,Excellent,A,1401540,Web,Public,JOHN
001am00002A9jrnAAB,137476000,Excellent,A,2405830,Call Center,Private,
001am00002A9jroAAB,189080000,Good,A,3308900,Web,Subsidiary,
001am00002A9jrpAAB,234924000,Excellent,A,4111170,Web,Private,
001am00002A9jrqAAB,80188000,Excellent,A,1403290,Mobile,Private,
001am00002A9jrrAAB,207692000,Excellent,A,3634610,Other,Private,
001am00002A9jrsAAB,218564000,Excellent,A,3824870,Branch,Private,
001am00002A9jrtAAB,40000000,Good,A,700000,Other,Private,
001am00002A9jruAAB,53408000,Good,A,934640,Other,Private,
001am00002A9jrvAAB,161336000,Excellent,A,2823380,Mobile,Private,
001am00002A9jrwAAB,116112000,Excellent,A,2031960,Call Center,Public,BROW
001am00002A9jrxAAB,107360000,Excellent,A,1878800,Branch,Public,MARS
001am00002A9jryAAB,216736000,Excellent,A,3792880,Other,Public,MITC
001am00002A9jrzAAB,337660000,Excellent,A,5909050,Branch,Private,
001am00002A9js0AAB,40000000,Excellent,A,700000,Mobile,Other,
001am00002A9js1AAB,81232000,Excellent,A,1421560,Branch,Private,
001am00002A9js2AAB,128456000,Excellent,A,2247980,Call Center,Private,
001am00002A9js3AAB,66788000,Good,A,1168790,Web,Private,
001am00002A9js4AAB,40000000,Excellent,A,700000,Call Center,Other,
001am00002A9js5AAB,77948000,Excellent,A,1364090,Web,Private,
001am00002A9js6AAB,40000000,Excellent,A,700000,Call Center,Public,TRAN
001am00002A9js7AAB,41080000,Excellent,A,718900,Web,Private,
001am00002A9js8AAB,40000000,Excellent,A,700000,Mobile,Private,
001am00002A9js9AAB,61000000,Excellent,A,1067500,Other,Public,HUFF
001am00002A9jsAAAR,139692000,Excellent,A,2444610,Mobile,Public,COLE
001am00002A9jsBAAR,40000000,Excellent,A,700000,Branch,Private,
001am00002A9jsCAAR,133808000,Excellent,A,2341640,Web,Private,
001am00002A9jsDAAR,166372000,Excellent,A,2911510,Branch,Private,
